LOSSFILE	
FileFormatVersion	YLT_1.1
LossTableHeaderFormat	Manual Import
LossTableHeaderProducer	MAT-R
LossTableType	YLT
LossTableBasis	AM
CreateDate	2018-08-07
Model	Elements
ModelProvider	IF
ModelSystem	Elements
ModelSystemVersion	10.0.0.0
ModelSystemInstance	PRD
ResultsDatabaseName	IF_RES_2018_THFL
User	U000886
Simulation_Set_Id	7511
Peril	FL
Region	Thailand
Model_Version	10.0.0.0
ModelModule	DLM
Geo_Code	THA
SourceResultsReference	42
ResultsName	FPG_QS_SPL - FPG_QS_SPL
ResultsDescription	NA
Run_Date	2018-06-27
Run_Date	2018-06-27
Currency	THB
FinPerspective	GU
Years	100000
SimulationPeriodBasis	1
OccurrenceBasis	PerEvent
OEP2	0
OEP5	8169385
OEP10	131946097
OEP25	565116148
OEP50	1855095265
OEP100	2171342391
OEP200	2356876878
OEP250	2391373373
OEP500	2520814472
OEP1000	2683327326
OEP5000	2969410750
OEP10000	3104076686
AAL	86965188.90267
STD	352523451.318785
COV	4.05361565664306
#[HEADER-END]
EventID	Year	MM-DD(n)	Value
751100165	54807	08-03(0)	43415038
751100165	65223	08-06(0)	43415038
751100165	79044	08-10(0)	43415038
751100165	84710	06-28(0)	43415038
751100165	97495	07-14(0)	43415038
751100169	3759	08-12(0)	3887947
751100169	70866	07-14(0)	3887947
751100170	1864	05-23(0)	2186719742
751100170	29349	07-03(0)	2186719742
751100170	38312	08-16(0)	2186719742
751100170	47193	06-05(0)	2186719742
751100170	51329	10-12(0)	2186719742
751100170	72857	07-19(0)	2186719742
751100170	77011	07-08(0)	2186719742
751100170	78708	08-05(0)	2186719742
751100171	3521	05-19(0)	122087619
751100171	10989	06-08(0)	122087619
751100171	15624	05-16(0)	122087619
751100171	26260	10-09(0)	122087619
751100171	35272	09-02(0)	122087619
751100171	42232	06-23(0)	122087619
751100171	59400	07-30(0)	122087619
751100171	81992	06-22(0)	122087619
751100171	84128	05-27(0)	122087619
751100171	96707	10-12(0)	122087619
751100172	5577	06-19(0)	2015564928
751100172	7904	10-12(0)	2015564928
751100172	46690	06-02(0)	2015564928
751100172	69726	07-18(0)	2015564928
751100175	24958	08-12(0)	64691026
